cuenta_codigo;descripcion_rubro;se_carga_por;se_abona_por;significado_saldo
110208;Bajo esta cuenta ser registrará el valor del contrato de los artículos dados en arrendamiento con opción de compra;Con el valor de los contratos firmados para arrendamientos financieros;Con el valor total o parcial de las cuentas estipuladas en el contrato;Su saldo es DEUDOR
110209;Esta cuenta registrará los saldos a nuestro favor a cargo de empleados, proveedores por los créditos concedidos;Con el valor que origina la deuda;Con los pagos parciales o cancelación de la deuda;Su saldo es DEUDOR
110210;Se registrarán las cantidades de dinero prestados a los asociados a corto plazo;Con los desembolsos hechos por estos conceptos;Con los pagos parciales o cancelaciones de las deudas;Su saldo es DEUDOR
110211;Se registrarán las cantidades de dinero efectuadas por los descuentos efectuados en planilla a los asociados;Por el valor de los descuentos efectuados en las planillas a los asociados;Con los valores que nos cancelan por los descuentos realizados en planilla;Su saldo es DEUDOR
110212;Se registrarán los valores en especie o servicios proporcionados a los asociados a corto o largo plazo;Con los valores proporcionados por este concepto;Con los pagos parciales o cancelaciones del crédito, devoluciones y rebajas concedidas;Su saldo es DEUDOR
110213;Se registrarán las cantidades reservadas para cubrir pérdidas ocasionadas por préstamos y/o créditos imposibles de recuperar Se presentará en el balance al lado del activo, deduciendo del activo realizables;Con el valor de los préstamos y/o créditos no recuperables, a juicio del Consejo de Administración con la debida aprobación de la Asamblea General;Con el porcentaje los excedentes del ejercicio que señalan los estatutos o en su defecto con el porcentaje acordado en Asamblea General de Asociados, con base a la necesidad establecida en la cartera de préstamos y créditos y al incrementar la reserva por cualquier otro concepto;Su saldo es ACREEDOR
110214;Esta cuenta se utilizará para el control de la mercadería, producción terminada, producción en proceso, y aquellos insumos y materiales adquiridos para la utilización en el proceso productivo;Al inicio del ejercicio con los valores de inventario inicial, con las compras de mercaderías, materia prima, materiales, repuestos y accesorios y otros insumos, y por la materia prima y materiales devueltos por el departamento de producción, así como también con el costo de los productos terminados y con el inventario final de artículos en proceso. Además, debe cargarse con la distribución de los costos indirectos de fabricación sub-aplicados, tanto a los productos terminados como a los productos en proceso;Durante el ejercicio con el valor de las ventas a precio de costo, por las requisiciones de materia prima y materiales enviados al departamento de producción, con el valor de las devoluciones a los proveedores. Además debe abonarse cuando se traslade el saldo de la sub-cuenta Productos en proceso, a la cuenta PRODUCCIÓN EN PROCESO, y al distribuir los costos indirectos de fabricación sobre-aplicados, tanto a los productos terminados como a los productos en proceso;Su saldo es DEUDOR
110215;Se registrarán las provisiones estimadas para cubrir riesgos por posibles daños en las existencias, producidos por incendios, deteriores o pérdidas, etc, con el fin de reflejar las existencias a su valor real en el balance;Al producir él quebrante previsto y al reducir o eliminar la provisión;Al crearse la provisión y al aumentar la misma;Su saldo es DEUDOR
110216;Se registrarán todos los gastos pagados anticipadamente y cuya aplicación corresponde a períodos o ejercicios futuros, tales como seguros, intereses, impuestos, etc, estos gastos deberán amortizarse tan rápidamente como sea razonable;Al efectuarse al pago, o sea con el valor de los gastos o servicios pagados por anticipado, cuyos beneficios o recibirá o consumirá en un período de doce meses;Con las amortizaciones o consumos efectuados durante cada período;Su saldo es DEUDOR
110217;Bajo esta cuenta se registrará el valor del IVA pagado al adquirir bienes y servicios gravados con el Impuesto a la Transferencia de Bienes Muebles y a la Prestación de Servicios, este valor constituirá el crédito fiscal que deducirá la asociación cooperativa al hacer la declaración correspondiente, originadas por las compras al contado y al crédito, por las bonificaciones y descuentos sobre compras;Con los valores pagados en concepto de IVA al adquirir bienes o utilizar servicios grabados, que se encuentran detallados en los comprobantes de crédito fiscal ya sean estas compras al crédito o al contado;Con los pagos del impuesto del IVA a la Dirección General de Impuestos Internos, esto se hace con el saldo al final del mes para liquidarlo con el débito fiscal;Su saldo es DEUDOR
110218;Representa el valor retenido a otros contribuyentes, cuando por mandato de ley se establezca;Por el pago que se efectué;Con el valor de las retenciones efectuadas;Su saldo es DEUDOR
110219;Representa el valor de las aportaciones suscritas y no pagadas de los asociados;Con la cantidad con la que se han comprometido a pagar los asociados de la cooperativa y al ocurrir aumentos de capital;Con los pagos respectivos realizados por los asociados a su cuenta de aportaciones;La naturaleza de su saldo es DEUDOR
12;Está representado por todos aquellos valores propiedad de la Asociación Cooperativa que no son bienes de fácil realización, pero que son utilizados para llevar a cabo las operaciones normales de la asociación cooperativa, además se agrupan todos aquellos valores que no pueden ser realizados dentro de un periodo contable o en doce meses;"";"";Su saldo es DEUDOR
1201;En este rubro se controlará el costo de los activos fijos que posea la empresa, tanto de preciable como no depreciable;"";"";Su saldo es DEUDOR
120101;Bajo esta cuenta se registrarán las patentes, marcas, software, etc, que sirvan para la generación de ingresos propios de la Asociación Cooperativa;Con el costo de adquisición de las patentes, marcas, software, etc;Con la venta, destrucción, pérdida, desuso o retiro de algún bien;Su saldo es DEUDOR
120102;Bajo esta cuenta se registrarán las maquinarias y equipos, equipos de transporte, mobiliario y equipo de oficina, herramientas y enseres, bibliotecas y otros bienes muebles, que sirvan para la generación de ingresos propios de la Asociación Cooperativa;Con el costo de adquisición de los bienes, donaciones, y mejoras que prolonguen la vida útil de los bienes;Con la venta, destrucción, pérdida desuso o retiro de algún bien;Su saldo es DEUDOR
120103;Se registrará el incremento del valor del activo (bienes muebles e inmuebles) y el valor actualizado a una fecha determinada;Con el valor del incremento de cada bien;Por la venta, pérdida, destrucción o descargo del inventario al desecharse el bien revalorizado;Su saldo es DEUDOR
120104;Se registrará el valor estimado como gasto y con base a las Normas de Información Financiera para Asociaciones Cooperativas de El Salvador (NIFACES), por el uso y desgaste que sufren los bienes muebles e inmuebles, a excepción de los terrenos; se presentará al lado del activo deduciendo del activo fijo;Con el valor acumulado de la depreciación del bien, por la venta, pérdida destrucción o descargo del inventario al desecharse;Con el valor periódico calculado mensual, semestral o anual, que se pierda con el uso de los activos depreciables;Su saldo es ACREEDOR
120105;Bajo esta cuenta se registrará el valor del contrato de los artículos dado en arrendamiento con opción a compra;Con el valor de los contratos firmados para arrendamiento financiero;Con el valor total o parcial de las cuotas estipulados en el contrato;Su saldo es DEUDOR
120106;Bajo esta cuenta se registrarán las mejoras realizadas a las propiedades que se encuentran arrendadas para la generación de los ingresos de la empresa;Con los valores de las mejoras realizadas a las propiedades que la empresa tiene en arrendamiento;Con el valor total o parcial de las mejoras realizadas;Su saldo es DEUDOR
120107;Bajo esta cuenta se registran las depreciaciones de los bienes dados en arrendamiento, de acuerdo a lo establecido en la estimación que le corresponde;Con el valor de los ajustes en contra a la depreciación y con el valor acumulado hasta la fecha de venta del activo;Con las cantidades determinadas como depreciación;Su saldo es ACREEDOR
120108;Bajo esta cuenta se registrarán las cuotas de depreciación de las mejoras de los bienes de la empresa, de acuerdo a las mejoras que le corresponde;Con el valor de las mejoras en contra a las depreciaciones y con el valor acumulado hasta la fecha de venta del activo;Con las cantidades determinadas como depreciaciones;Su saldo es ACREEDOR
1202;Bajo este rubro se registrarán las compras de títulos valores como acciones, bonos, cédulas hipotecarias, etc;"";"";Su saldo es DEUDOR
120201;Se registrarán las compras de títulos valores de las acciones de cooperativas, federaciones y confederaciones;Con el valor de la compra de inversiones a más de un año;Con el valor de la venta de los títulos valores;Su saldo es DEUDOR
120202;Se registrarán el costo de los activos fijos que posea la empresa;Con el valor del activo o bienes adquiridos;Con el valor en libro de los bienes que sean vendidos o cuando se les dé de baja por cualquier motivo y por cierre contable;Su saldo es DEUDOR
1203;Se registrarán todos los derechos que la cooperativa adquiera en concepto de derecho de llave, patentes, marcas de fábrica, etc;"";"";Su saldo es DEUDOR
120301;Representa los activos identificados de carácter no monetario y sin apariencia física;Con el valor de las erogaciones efectuadas por la adquisición de bienes ya sea a valor histórico, de adquisición o producción;Con la respectiva amortización, realización y la transferencia del derecho de propiedad;Su saldo es DEUDOR
1204;Se registrarán los valores de las amortizaciones acumuladas de los derechos que la cooperativa ha adquirido en concepto de derechos de llave, patentes, marca, etc;Con el valor de las mejoras en contra a las amortizaciones y con el valor acumulado hasta la fecha de venta de los bienes intangibles;Con las cantidades determinadas como amortizaciones;Su saldo es ACREEDOR
120401;Registra el valor acumulado del porcentaje de amortización que se aplique a los activos intangibles;Con el valor de las cuotas por el porcentaje de amortización o cuando la plusvalía sujeta amortización se retire o se dé de baja;Con el valor acumulado de la amortización al efectuarse la venta, retiro o baja, o con el valor de la cuota de la plusvalía;Su saldo es ACREEDOR
1205;Representa todas las cuentas no clasificadas en las agrupaciones anteriores, para que formen parte del activo de la Cooperativa y que posteriormente podría convertirse en un activo operacional;"";"";Su saldo es DEUDOR
120501;Bajo esta cuenta se registran los valores efectuados a cobrar a clientes por ventas o servicios prestados al crédito;Con el valor original de las facturas al crédito y de los documentos que amparan la obligación a nuestro favor debidamente firmada;Con los pagos o abonos recibidas de las transacciones que hemos aplicado en las cuentas por cobrar;Su saldo es DEUDOR
120502;Se registrará el valor de las cuentas por cobrar del grupo de cooperativas con las que la asociación cooperativa mantenga relaciones comerciales y participación en su capital accionario y con convertibilidad a más de un año, siendo estas otras cooperativas, federaciones y confederaciones;Con el valor a cobrar;Con el valor total o parcial del cobro;Su saldo es DEUDOR
120503;Se registrarán los valores a cobrar a terceras personas operaciones que no se relacionan con el curso normal del negocio y que nos han firmado algún documento mercantil para amparar la transacción, y que no va a ser recuperados dentro de un año plazo;Con el valor original del documento que ampara la transacción;Con la reclasificación de la porción a cobrar a corto plazo o con los pagos parciales o totales de la deuda;Su saldo es DEUDOR
120504;Se registrará el valor de los documentos por cobrar del grupo de cooperativa con las que la asociación cooperativa mantenga relaciones comerciales con tercera personas y con convertibilidad a más de un año, para lo cual nos firman el documento que garantiza la transacción, siendo esta otras cooperativa, federaciones y confederaciones;Con el valor a cobrar;Con el valor total o parcial del cobro;Su saldo es DEUDOR
120505;Se registrará el valor del contrato de los artículos dados en arrendamiento con opción a compra a plazo;Con el valor de los contratos firmados para arrendamiento financiero;Con el valor total o parcial de las cuotas estipuladas en el contrato;Su saldo es DEUDOR
120506;Se registrará el valor determinado al final del ejercicio contable, como impuesto sobre la renta diferido;Con el valor determinado en cada ejercicio como impuesto sobre la renta diferido;Con el ajuste a cada período del valor diferido;Su saldo es DEUDOR
120507;Bajo esta cuenta se registrará el valor de los intereses que se generen de los contratos de los artículos dados en arrendamiento con opción a compra;Con el valor de los intereses obtenidos de los contratos firmados para arrendamiento financiero;Con el valor total o parcial de los intereses de las cuotas estipulados en el contrato;Su saldo es DEUDOR
120508;Registra las pérdidas sufridas en los ejercicios económicos, los cuales podrán clasificarse en pérdidas del presente ejercicio y pérdidas de ejercicios anteriores;Con el valor de las pérdidas sufridas;Cuando se rebaja o se liquida totalmente contra la reserva legal, excedentes o cuando se amortice en ejercicios futuros por acuerdo de Asamblea General;Su saldo es DEUDOR
2;Representa el conjunto de deudas de la Cooperativa originados por la adquisición de bienes y servicios, los cuales bienes a formar parte del activo de la misma;"";"";Su saldo es ACREEDOR
21;Se agruparan todas aquellas obligaciones contraídas por la empresa cuya exigibilidad es de un año o menos;"";"";Su saldo es ACREEDOR
2101;Se registrarán todas aquellas obligaciones que adquiere la empresa con terceras personas considerados estos como los proveedores ya sean locales o extranjeros;"";"";Su saldo es ACREEDOR
210101;Se registran los créditos en especie recibidas a corto plazo, con o sin garantía, los cuales se clasifican en locales y extranjeras;Por los abonos o pagos totales de la deuda y por las devoluciones, rebajas y descuentos de las mercaderías;Por el valor de las mercaderías o bienes recibidos al crédito y por los intereses aplicados a dicho créditos;Su saldo es ACREEDOR
210102;Se registrará el importe de los documentos por pagar a cargo de la empresa, que se encuentran pendiente de pago;Con la cancelación de los compromisos;Con los documentos que respaldan los compromisos y con la porción reclasificada a corto plazo de los documentos pagaderos a más de un año plazo;Su saldo es ACREEDOR
210103;Se registrará la porción del valor de los documentos por cobrar trasladados de dominio a otro proveedor para que sean cobrados;Con el valor de recuperación de los documentos traspasados;Con el valor de los documentos traspasados;Su saldo es ACREEDOR
210104;Bajo esta cuenta se registrará el valor de las cuentas por pagar del grupo de cooperativas con las que la asociación cooperativa mantenga relaciones comerciales y participaciones que esta tenga en su capital accionario;Con el valor pagado o amortizado de la deuda;Con el valor a pagar a las cooperativas relacionadas;Su saldo es ACREEDOR
2102;Se agrupan todas aquellas obligaciones que sean exigibles es de un año o menos;"";"";Su saldo es ACREEDOR
210201;Bajo esta cuenta se registrarán los valores sobregirados a los saldos que se tienen en las cuentas bancarias;Con las remesas efectuadas para saldar el sobregiro;Con el valor sobregirado en las cuentas bancarias;Su saldo es ACREEDOR
210202;Se registrará el valor de los préstamos recibidos de Instituciones Financieras y/o personas naturales amparadas con garantía hipotecaria;Con los abonos o cancelaciones totales de los préstamos;Por el valor de los préstamos recibidos;Su saldo es ACREEDOR
210203;Se registrará el valor de los préstamos recibidos de Instituciones Financieras y/o personas naturales amparadas con garantía prendaria;Con los abonos o cancelaciones totales de los préstamos;Por el valor de los préstamos recibidos;Su saldo es ACREEDOR
210204;Representa las deudas contraídas por la cooperativa a favor de instituciones bancarias o no bancarias, nacionales o extranjeras, por préstamos recibidos, amparados con garantía personal, prendaria o hipotecaria y con vencimiento para un período menor a un año;Con el valor de las cuotas pagadas de los préstamos recibidos con la finalidad de amortizar total o parcialmente la obligación;Con los retiros totales o parciales de los préstamos otorgados y con la porción corriente traslada de la cuenta PRESTAMOS POR PAGAR A LARGO PLAZO;Su saldo es ACREEDOR
210205;Se registra el valor de las obligaciones de la cooperativa por depósitos a la vista, recibidos de asociados o de aspirantes;Con el valor de los retiros totales o parciales que realicen;Con el valor de los depósitos recibidos;Su saldo es ACREEDOR
210206;Bajo esta cuenta se registrará el valor de los intereses vencidos;Con la amortización de la deuda;Con el valor de los intereses vencidos;Su saldo es ACREEDOR
210207;Bajo esta cuenta se registrará el valor de los servicios prestados a la empresa;Con el valor de los pagos realizados;Con el valor de los servicios que se van a cancelar;Su saldo es ACREEDOR
210208;Se registrarán las retenciones efectuadas a los trabajadores por orden judicial o contractual para cubrir obligaciones;Con los pagos efectuados de dichas retenciones a la entidad receptora;Con los descuentos efectuados a los empleados de la empresa;Su saldo es ACREEDOR
210209;Se registrarán las cantidades efectuadas en concepto de aportes realizados por el patrono (ISSS, AFP) para cubrir las obligaciones con los empleados;Con los pagos efectuados a la entidad receptora;Con el valor de los aportes realizados por el patrono;Su saldo es ACREEDOR
210210;Se registrarán los compromisos adquiridos por la empresa para con los empleados, ya sea en concepto de salarios, comisiones, aguinaldos, bonificaciones, etc;Con el pago o abonos hechos a las obligaciones contraídas;Con el valor de las prestaciones a pagar;Su saldo es ACREEDOR
210211;Se registrarán los excedentes que la empresa paga a los asociados como retribución de inversión;Con el pago de los excedentes;Con las cantidades de los excedentes a distribuir;Su saldo es ACREEDOR
210212;Se registran las liquidaciones que se tienen pendientes de pago a los asociados;Con el pago de dichas liquidaciones;Con el valor de las liquidaciones;Su saldo es ACREEDOR
210213;Bajo esta cuenta se registrará el valor del IVA cobrado al adquirir de bienes y servicios gravados con el Impuesto a la Transferencia de Bienes Muebles y a la Prestación del Servicio, este valor constituirá el débito fiscal que pagara la empresa al hacer la declaración correspondiente, originadas por las ventas al contado y al crédito, por las bonificaciones y descuentos sobre ventas;Con los valores cobrados en concepto de IVA al adquirir bienes o utilizar servicios grabados, que se encuentran detallados en los comprobantes de crédito fiscal que se entregan a contribuyentes y por las facturas a los consumidores finales ya sean estas ventas al crédito o al contado;Con los pagos del impuesto del IVA a la Dirección General de Impuestos Internos, esto se hace con el saldo al final del mes para liquidarlo con el crédito fiscal que resulta de las compras;Su saldo es ACREEDOR
210214;Se registrarán los valores determinados por pagar como impuestos sobre la renta al final del ejercicio, el IVA por pagar, los impuestos municipales y provisiones de pago a cuenta;Con las amortizaciones que se hagan para cancelar los impuestos;Con los diferentes impuestos determinados a pagar al final del ejercicio;Su saldo es ACREEDOR
210215;Se registrará el valor de los contratos firmados de los bienes tomados en arrendamiento con opción a compra;Con el valor de la porción a corto plazo o con el pago total o parcial del contrato;Con el valor de los contratos firmados para arrendamiento financiero;Su saldo es ACREEDOR
210216;Se registrarán los servicios de asesorías, e intereses cobrados por anticipado, cobrados antes de su vencimiento y que se trasladará a la cuenta de productos que corresponda a medida que se va venciendo;Con la amortización de lo cobrado por anticipado a medida que se vengan los plazos de cobro;Con los ingresos cobrados por anticipado;Su saldo es ACREEDOR
210217;Se registra las deudas contraídas por la cooperativa y que se encuentran pendientes de pago;Con el pago parcial o total de la deuda;Con los documentos que amparan los compromisos contraídos;Su saldo es ACREEDOR
210218;Se registra las deudas a corto plazo contraídas por la cooperativa y que se encuentran pendientes de pago;Con el pago parcial o total de la deuda;Con los documentos que amparan los compromisos contraídos;Su saldo es ACREEDOR
22;Se agruparan todas aquellas obligaciones que sean exigibles a más de un año plazo;"";"";Su saldo es ACREEDOR
2201;Se registrarán todas aquellas obligaciones que adquiere la empresa con terceras personas a más de un año plazo;"";"";Su saldo es ACREEDOR
220101;Se registrará el importe de los documentos por pagar a cargo de la empresa y que se encuentran pendientes de pago;Por las cancelaciones de los compromisos;Con los documentos que respaldan los compromisos pagaderos a más de un año;Su saldo es ACREEDOR
220102;Se registra el valor de las cuentas por pagar del grupo de cooperativas con las que la asociación cooperativa mantenga relaciones mercantiles y participaciones que estas tengan en su capital accionario;Con el valor pagado u amortizado de la deuda;Con el valor a pagar a las cooperativas relacionadas;Su saldo es ACREEDOR
220103;Se registra el valor de los documentos por pagar del grupo de cooperativas con las que la asociación cooperativa mantenga relaciones mercantiles y participaciones que estas tengan en su capital accionario;Con el valor pagado u amortizado de la deuda;Con el valor a pagar a las cooperativas relacionadas o certificados de préstamos;Su saldo es ACREEDOR
2202;Se agrupan todas aquellas obligaciones que sean exigibles es de un año o menos;"";"";Su saldo es ACREEDOR
220201;Se registrarán los préstamos hipotecarios (garantizados con escritura pública) con más de un año plazo, y que serán utilizados para subvenir las necesidades en las operaciones de la Asociación Cooperativa;Con los abonos que se realicen a dicho préstamo;Con el préstamo percibido;Su saldo es ACREEDOR
220202;Se registrarán los préstamos con garantía prendaria a más de un año plazo, y que serán utilizados para subvenir las necesidades en las operaciones de la Asociación Cooperativa;Con los abonos que se realicen a dicho préstamo;Con el préstamo percibido;Su saldo es ACREEDOR
220203;Representa las deudas contraídas por la cooperativa a favor de instituciones bancarias o no bancarias, sean estas nacionales o extranjeras, o por préstamos recibidos de parte de asociados: Todos ellos amparados con garantía personal, prendaria o hipotecaria y con vencimiento para un período mayor a un año;Con el valor de las cuotas pagadas de los préstamos recibidos con la finalidad de amortizar total o parcial la obligación y con la porción corriente traslada a la cuenta PRESTAMOS POR PAGAR A CORTO PLAZO;Con el valor de los documentos a cargo de la cooperativa que respaldan los compromisos adquiridos;Su saldo es ACREEDOR
220203A;Se registran las obligaciones de la Cooperativa por ahorros a plazo mayor de un año, recibido de los asociados;Con el valor de los reintegros hechos a los asociados, al vencimiento del plazo;Con el valor de los depósitos recibidos;Su saldo es ACREEDOR
220204;Se registrará el valor de intereses vencidos por pagar a plazo mayor de un año;Con las amortizaciones realizadas;Con el valor de los intereses vencidos;Su saldo es ACREEDOR
220205;Se registra el valor de los contratos firmados, de los bienes tomados en arrendamiento con opción a compra, y que sean a más de un año;Con el valor de la porción a corto plazo o con el pago total o parcial del contrato;Con el valor de los contratos firmados para arrendamiento financiero;Su saldo es ACREEDOR
220206;Agrupa los valores previstos por la Cooperativa para cubrir deudas que son de exigibilidad incierta, o se ignora si se hiciera en efectivo o manifiesto así como la fecha en que sucederá;Al producirse el quebrante previsto y al reducir o eliminar la provisión;Al crearse la provisión y al aumentar la misma;Su saldo es ACREEDOR
220207;Se registran las cantidades en concepto de intereses acumuladas por préstamos y/o créditos a asociados ya sea a corto o largo plazo calculado al final de cada mes;Con los valores percibidos en este concepto, con abonos a la cuenta productos financieros;Con las previsiones de los intereses devengados y no recibidos con cargo de la cuenta intereses por cobrar;Su saldo es ACREEDOR
3;Está constituido por las aportaciones de los asociados, las donaciones, subsidios, legados recibidos y por el valor de las reservas de capital;"";"";Su saldo es ACREEDOR
31;El capital contable está constituido por las aportaciones de los asociados Las donaciones, subsidios, legados recibidos y por el valor de las reservas de capital;"";"";Su saldo es ACREEDOR
3101;Se agrupan las cuentas que representan las aportaciones de los asociados para formar el capital social;"";"";Su saldo es ACREEDOR
310101;Se registra el valor de las aportaciones pagadas y no pagadas;Con el valor de las aportaciones pagadas y no pagadas, así mismo con el ingreso de aportaciones de nuevos asociados/as;Con la liquidación de aportaciones provenientes de retiro de asociados/as;Su saldo es ACREEDOR
310102;Se registra las cantidades reservadas para cubrir pérdidas que pudieran producirse en ejercicios futuros y para corresponder por obligaciones con terceros. Esta reserva es obligatoria según la ley;Cuando presenta cualquiera de los casos anteriores;Con el porcentaje de los excedentes del ejercicio señalado por los estatutos, al reintegrarse las cantidades utilizadas, según señala la Ley y el incremento esta reserva por cualquier otro concepto;Su saldo es ACREEDOR
3102;Se registran los valores resultantes de los excedentes, superávit y pérdidas que resultan en el ejercicio fiscal;"";"";Su saldo es ACREEDOR
310201;Se registran los valores resultantes como excedentes del presente ejercicio;Con el valor de los excedentes resultantes;Con el valor de los excedentes distribuidos;Su saldo es ACREEDOR
310202;Se registran los valores resultantes como excedentes de ejercicios anteriores;Con el valor de los excedentes obtenidos en ejercicios anteriores;Con el valor de los excedentes distribuidos;Su saldo es ACREEDOR
310203;Se registran las cantidades aplicables a las revaluaciones de mobiliario, maquinaria y equipo. Este superávit no es distribuible sino hasta que se enajenen los bienes revalorizados y se percibe en efectivo el importe correspondiente;Con el valor total de las revaluaciones al realizarse o venderse el bien;Con las cantidades establecidas como revalúo;Su saldo es ACREEDOR
310204;Se registran las cantidades por las revaluaciones hechas a los bienes muebles e inmuebles, los cuales han sido revaluados con anterioridad y se convierten en realizados al momento de su enajenación o la venta de estos. Este superávit es distribuible;Con el valor de las revaluaciones distribuidas;Con las cantidades de la revaluación de la venta;Su saldo es ACREEDOR
310205R;Es la diferencia entre los ingresos y los gastos de un período. Se registrará el valor total de las pérdidas que resulten en un ejercicio contable;Con el valor de la pérdida obtenida en un ejercicio contable;Con los valores que por acuerdo de la Asamblea General de Asociados decidan amortizar con las utilidades o contra el capital o las reservas constituidas;Su saldo es DEUDOR
310206R;Bajo esta cuenta se registrará el valor total de las pérdidas que resulten de los ejercicios anteriores;Con el valor de la pérdida obtenida en cada ejercicio;Con los valores que por acuerdo de la Asamblea General de Asociados decidan amortizar con las utilidades o contra el capital o las reservas constituidas;Su saldo es DEUDOR
3103;Representa los valores en dinero o bienes recibidos de cualquier persona natural o jurídica en propiedad absoluta o condicionada a las cláusulas de un documento, sin que la Cooperativa haya entregado a cambio ningún valor;"";"";Su saldo es ACREEDOR
310301;Se registra el valor de las donaciones recibidas por la Cooperativa;Al devolverse la donación, si esta es condicionada y por la liquidación de la Cooperativa;Con el valor de la donación recibida;Su saldo es ACREEDOR
310302;Se registra el valor de los subsidios recibidos por la Cooperativa;Por la liquidación de la Cooperativa;Con el valor de los subsidios recibidos;Su saldo es ACREEDOR
310303;Se registra el valor de otro tipo de donaciones recibidos por la Cooperativa;Por la liquidación de esta cuenta por la Cooperativa;Con el valor de la donación recibida;Su saldo es ACREEDOR
4;Son aplicaciones de fondos requeridos por la Cooperativa, cuando este se pone en marcha, para cubrir sus costos de operación;"";"";Su saldo es DEUDOR
41;Clasificación se agrupan todos los valores incurridos en la explotación de cada una de las actividades productivas de la cooperativa;"";"";Su saldo es DEUDOR
4101;Se registrarán todos los costos directamente relacionados con la producción de Teja, Bloque y Losa;"";"";Su saldo es DEUDOR
410101;Esta cuenta es transitoria y representa la acumulación de costos en la orden de producción Teja;Durante el período contable con el valor de las materias primas consumidas, material directo, mano de obra directa y los costos indirectos asignados a la orden Teja;Al final del período de costos o al cierre del ejercicio contable por los traslados a la cuenta INVENTARIO Sub-cuentas Productos Terminados y Productos en Proceso;Su saldo es DEUDOR
